Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
人	Pessoa	ジン, ニン	ひと	Representação de uma pessoa de pé, vista de perfil.	N5
一	Um	イチ, イツ	ひと, ひと・つ	Um único traço horizontal representando a unidade um.	N5
日	Dia, sol	ニチ, ジツ	ひ, か	Desenho do sol, cuja passagem marca a duração de um dia.	N5
大	Grande	ダイ, タイ	おお, おお・きい, おお・いに	Uma pessoa com braços e pernas abertos para mostrar que algo é grande.	N5
年	Ano	ネン	とし	Uma pessoa (人) carregando um arado (一, ヰ) para a colheita que ocorre uma vez por ano.	N5
出	Sair, colocar para fora	シュツ, スイ	で・る, だ・す	Representação de montanhas (山) sobrepostas para indicar o esforço de sair de um local.	N5
本	Livro, origem	ホン	もと	Uma marca (一) na base da árvore (木) para indicar sua raiz ou origem.	N5
中	Meio, dentro	チュウ, ジュウ	なか	Uma linha vertical (丨) que atravessa o meio de uma abertura ou boca (口).	N5
子	Criança	シ, ス	こ	Desenho de uma criança pequena com os braços estendidos.	N5
見	Ver	ケン	み・る, み・える, み・せる	Um olho (目) posicionado sobre pernas (儿) para se deslocar e ver as coisas.	N5
国	País	コク	くに	Uma joia (玉) protegida dentro de um cercado (囗) que forma as fronteiras do país.	N5
上	Em cima, subir	ジョウ, ショウ	うえ, うわ, かみ, あ・げる, あ・がる, のぼ・る, のぼ・せる, のぼ・す	Um sinal (卜) colocado acima de uma linha horizontal (一) para indicar o que está em cima.	N5
分	Dividir, minuto, parte	ブン, フン, ブ	わ・ける, わ・かれる, わ・かる, わ・かつ	O uso de uma faca (刀) para separar algo (representado pelas partes no topo 八) ao dividir.	N5
生	Vida, nascer	セイ, ショウ	い・きる, い・かす, い・ける, う・まれる, う・む, お・う, は・える, は・やす, き, なま	Representação de uma planta brotando da terra, simbolizando a vida e o ato de nascer.	N5
行	Ir, linha	コウ, ギョウ, アン	い・く, ゆ・く, おこな・う	Passos (彳) dados em um cruzamento de ruas (丁) para ir a algum lugar.	N5
二	Dois	ニ	ふた, ふた・つ	Dois traços horizontais representando o número dois.	N5
間	Espaço, intervalo	カン, ケン	あいだ, ま	A luz do sol (日) passando pela fresta de um portal (門), criando um intervalo.	N5
時	Tempo, hora	ジ	とき	O uso do sol (日) no pátio de um templo (寺) para medir o tempo.	N5
気	Espírito, humor	キ, ケ	Não possui	O vapor ou ar (气) que circula (乂) e representa o espírito vital.	N5
十	Dez	ジュウ, ジッ	とお, と	O cruzamento de duas linhas representando a completude do número dez.	N5
女	Mulher	ジョ, ニョ, ニョウ	おんな, め	Desenho de uma mulher ajoelhada ou em posição de reverência.	N5
